link,name,school,department,rating,difficulty,would_take_again
https://www.ratemyprofessors.com/professor/615,Mark Rockley,Oklahoma State University,Science,4.1,4.2,N/A
https://www.ratemyprofessors.com/professor/679,Jason Kirksey,Oklahoma State University,Political Science,2.8,4,N/A
https://www.ratemyprofessors.com/professor/9146,Don Adams,Oklahoma State University,Engineering,3.4,3.3,N/A
https://www.ratemyprofessors.com/professor/49876,William Hargett,Oklahoma State University,Psychology,4.6,1.6,N/A
https://www.ratemyprofessors.com/professor/51827,Janice Miller,Oklahoma State University,Education,4.4,3.2,N/A
https://www.ratemyprofessors.com/professor/66495,Robert Darcy,Oklahoma State University,Political Science,2.9,3.6,N/A
https://www.ratemyprofessors.com/professor/87294,Lowell Caneday,Oklahoma State University,Health Science,4.8,3.3,N/A
https://www.ratemyprofessors.com/professor/104817,Lionel Raff,Oklahoma State University,Science,2.2,4.7,67%
https://www.ratemyprofessors.com/professor/116431,Jess Porter,Oklahoma State University,Geography,4.3,2.5,N/A
https://www.ratemyprofessors.com/professor/127076,Rama Ramakumar,Oklahoma State University,Engineering,4.1,2.9,100%
https://www.ratemyprofessors.com/professor/130590,Marc Krein,Oklahoma State University,Journalism,4.5,2.6,N/A
https://www.ratemyprofessors.com/professor/130993,William Bryans,Oklahoma State University,History,3.2,3.3,40%
https://www.ratemyprofessors.com/professor/131132,Carl Latino,Oklahoma State University,Engineering,2.3,4,14%
https://www.ratemyprofessors.com/professor/131137,Jack Allison,Oklahoma State University,Engineering,2.8,3.9,N/A
https://www.ratemyprofessors.com/professor/131159,Chris Hutchens,Oklahoma State University,Engineering,2.0,4.2,50%
https://www.ratemyprofessors.com/professor/135518,James West,Oklahoma State University,Engineering,4.1,4,67%
https://www.ratemyprofessors.com/professor/138345,Ronald David Delahoussaye,Oklahoma State University,Engineering,2.4,3.4,38%
https://www.ratemyprofessors.com/professor/140464,Brenda Masters,Oklahoma State University,Statistics,3.3,3.7,48%
https://www.ratemyprofessors.com/professor/141565,John Howland,Oklahoma State University,Languages,4.1,2.7,N/A
https://www.ratemyprofessors.com/professor/141584,Duke Pesta,Oklahoma State University,Literature,4.8,4,N/A
https://www.ratemyprofessors.com/professor/141782,Carlos Cordova,Oklahoma State University,Geography,3.2,2.6,50%
https://www.ratemyprofessors.com/professor/146050,D. Alspach,Oklahoma State University,Mathematics,1.7,4.6,N/A
https://www.ratemyprofessors.com/professor/146415,Richard Potts,Oklahoma State University,Psychology,3.1,3.6,N/A
https://www.ratemyprofessors.com/professor/146423,Melanie Page,Oklahoma State University,Psychology,4.6,2.6,N/A
https://www.ratemyprofessors.com/professor/150886,Lesley Rimmel,Oklahoma State University,History,1.9,4,100%
https://www.ratemyprofessors.com/professor/153846,Joel Jenswold,Oklahoma State University,Political Science,3.1,3.5,N/A
