link,name,school,department,rating,difficulty,would_take_again
https://www.ratemyprofessors.com/professor/18853,Donna Goodwin,Tulsa Community College,English,3.3,2.9,45%
https://www.ratemyprofessors.com/professor/36623,Steve Murdock,Tulsa Community College,Mathematics,2.8,3.9,N/A
https://www.ratemyprofessors.com/professor/51034,Jerry Humphrey,Tulsa Community College,Computer Science,1.7,3.9,N/A
https://www.ratemyprofessors.com/professor/132156,Cathy Cole,Tulsa Community College,Languages,4.9,2.1,N/A
https://www.ratemyprofessors.com/professor/132175,Robert Burke,Tulsa Community College,History,2.7,3.3,N/A
https://www.ratemyprofessors.com/professor/132205,Pat Trusty,Tulsa Community College,Geography,4.3,2.9,82%
https://www.ratemyprofessors.com/professor/132436,Jim Jones,Tulsa Community College,History,4.4,2.5,100%
https://www.ratemyprofessors.com/professor/132460,Phoebe Baker,Tulsa Community College,Psychology,4.4,2.4,N/A
https://www.ratemyprofessors.com/professor/132669,Hank Comby,Tulsa Community College,Sociology,3.9,2.6,N/A
https://www.ratemyprofessors.com/professor/132714,Mark Hellstern,Tulsa Community College,History,4.7,1.9,N/A
https://www.ratemyprofessors.com/professor/137438,Tommy Henderson,Tulsa Community College,Engineering,4.4,2.9,100%
https://www.ratemyprofessors.com/professor/139781,James Jackson,Tulsa Community College,Chemistry,4.9,1.8,100%
https://www.ratemyprofessors.com/professor/140305,Carter Schell,Tulsa Community College,Political Science,2.9,3.2,66%
https://www.ratemyprofessors.com/professor/140310,Charles Bean,Tulsa Community College,History,3.5,3.3,50%
https://www.ratemyprofessors.com/professor/143703,Mike Swafford,Tulsa Community College,Computer Science,4.6,2.4,N/A
https://www.ratemyprofessors.com/professor/166321,Gayleen Williams,Tulsa Community College,Chemistry,4.7,2.6,N/A
https://www.ratemyprofessors.com/professor/166325,Brian Booth,Tulsa Community College,Mathematics,4.6,2.6,N/A
https://www.ratemyprofessors.com/professor/166326,Stacy Reaves,Tulsa Community College,Geography,4.0,2.8,89%
https://www.ratemyprofessors.com/professor/166331,Nikae Perkinson,Tulsa Community College,Chemistry,4.3,3.3,N/A
https://www.ratemyprofessors.com/professor/171385,Paul McBride,Tulsa Community College,History,2.9,1.5,N/A
https://www.ratemyprofessors.com/professor/174811,Mark Patz,Tulsa Community College,English,3.3,2.8,100%
https://www.ratemyprofessors.com/professor/176783,Pat Fite,Tulsa Community College,Biology,1.8,2.8,N/A
https://www.ratemyprofessors.com/professor/189772,Sid Moyers,Tulsa Community College,Political Science,4.0,2.8,N/A
https://www.ratemyprofessors.com/professor/191044,Mary Ann Philpott,Tulsa Community College,Economics,4.2,2.5,N/A
