link,name,school,department,rating,difficulty,would_take_again
https://www.ratemyprofessors.com/professor/80900,John Hale,University of Tulsa,Computer Science,3.7,2.8,34%
https://www.ratemyprofessors.com/professor/80909,William Dugger,University of Tulsa,Economics,3.7,2,67%
https://www.ratemyprofessors.com/professor/107336,Gary Allison,University of Tulsa,Law,2.5,3.3,N/A
https://www.ratemyprofessors.com/professor/129941,Stephen Rockwell,University of Tulsa,Business,4.0,3.2,50%
https://www.ratemyprofessors.com/professor/132178,Joseph Bradley,University of Tulsa,History,3.9,3.4,34%
https://www.ratemyprofessors.com/professor/132600,Richard Burgess,University of Tulsa,Business,4.6,2.5,0%
https://www.ratemyprofessors.com/professor/136825,Thomas Buckley,University of Tulsa,History,4.8,3.2,N/A
https://www.ratemyprofessors.com/professor/137345,Susan Boyd,University of Tulsa,Ethnic Studies,4.7,2.7,100%
https://www.ratemyprofessors.com/professor/137782,Richard Gebhart,University of Tulsa,Business,2.8,4.3,N/A
https://www.ratemyprofessors.com/professor/138077,Kate Adams,University of Tulsa,English,3.8,4.1,100%
https://www.ratemyprofessors.com/professor/138081,Francis Russell Hittinger,University of Tulsa,Theology,4.1,3.3,75%
https://www.ratemyprofessors.com/professor/138086,Zita Halka,University of Tulsa,Languages,3.6,3.3,N/A
https://www.ratemyprofessors.com/professor/138088,Veronique Conway,University of Tulsa,Languages,4.7,2.5,100%
https://www.ratemyprofessors.com/professor/142461,Christi Patton,University of Tulsa,Engineering,4.1,2.3,N/A
https://www.ratemyprofessors.com/professor/143241,Joseph Kestner,University of Tulsa,English,4.0,3.3,N/A
https://www.ratemyprofessors.com/professor/143748,J Howland,University of Tulsa,Philosophy,3.8,3.3,100%
https://www.ratemyprofessors.com/professor/143752,S Gardner,University of Tulsa,Philosophy,2.9,2.8,50%
https://www.ratemyprofessors.com/professor/143755,R Donaldson,University of Tulsa,Political Science,3.4,3.2,N/A
https://www.ratemyprofessors.com/professor/143759,James Childress,University of Tulsa,Computer Science,3.6,2.8,56%
https://www.ratemyprofessors.com/professor/143770,Arty Gibson,University of Tulsa,Physics,4.6,1.9,100%
https://www.ratemyprofessors.com/professor/155652,Dennis Kerr,University of Tulsa,Science,3.1,2.9,50%
https://www.ratemyprofessors.com/professor/164667,Joanne Davis,University of Tulsa,Psychology,4.2,3.1,N/A
https://www.ratemyprofessors.com/professor/178582,Charles Wood,University of Tulsa,Marketing,3.6,2.6,50%
https://www.ratemyprofessors.com/professor/179573,William Coberly,University of Tulsa,Mathematics,4.1,2.5,100%
https://www.ratemyprofessors.com/professor/179587,M. Teresa Valero,University of Tulsa,Fine Arts,2.9,4.1,100%
https://www.ratemyprofessors.com/professor/181343,Lisa Wilson,University of Tulsa,Theater,4.4,3.4,100%
https://www.ratemyprofessors.com/professor/181348,Susan Barrett,University of Tulsa,Theater,3.9,3.3,50%
https://www.ratemyprofessors.com/professor/181352,Michael Wright,University of Tulsa,Theater,3.1,2.8,N/A
https://www.ratemyprofessors.com/professor/181353,David Cook,University of Tulsa,Theater,3.7,2.1,N/A
https://www.ratemyprofessors.com/professor/194229,Wendy Casper,University of Tulsa,Psychology,4.8,2.7,N/A
https://www.ratemyprofessors.com/professor/213161,Steve Steib,University of Tulsa,Economics,3.6,3.9,0%
https://www.ratemyprofessors.com/professor/215040,S Dixon,University of Tulsa,Fine Arts,3.8,2.3,N/A
https://www.ratemyprofessors.com/professor/216510,Robert Monroe,University of Tulsa,Finance,3.5,3.4,N/A
https://www.ratemyprofessors.com/professor/216512,Robert Russell,University of Tulsa,Finance,2.4,4,50%
https://www.ratemyprofessors.com/professor/216514,Christine Ruane,University of Tulsa,History,3.9,2.9,N/A
https://www.ratemyprofessors.com/professor/216516,Arthur Rasher,University of Tulsa,Management,3.5,3.4,N/A
https://www.ratemyprofessors.com/professor/230310,Richard Walton,University of Tulsa,Psychology,0.0,0,N/A
https://www.ratemyprofessors.com/professor/230643,Gordon Purser,University of Tulsa,Chemistry,3.8,4.4,53%
https://www.ratemyprofessors.com/professor/230819,Michelle Martin,University of Tulsa,Fine Arts,4.4,2.4,N/A
https://www.ratemyprofessors.com/professor/230820,Mark Lewis,University of Tulsa,Fine Arts,4.2,3.3,80%
https://www.ratemyprofessors.com/professor/230821,Glenn Godsey,University of Tulsa,Graphic Arts,4.0,2,N/A
https://www.ratemyprofessors.com/professor/233760,Dennis Hudson,University of Tulsa,Accounting,3.8,3.2,N/A
https://www.ratemyprofessors.com/professor/233763,Peggy Hill,University of Tulsa,Biology,3.6,3,34%
https://www.ratemyprofessors.com/professor/249948,Kenneth Grass,University of Tulsa,Music,4.9,1.4,N/A
https://www.ratemyprofessors.com/professor/260187,C Settle,University of Tulsa,Economics,4.0,3.6,100%
https://www.ratemyprofessors.com/professor/260282,Rose Gamble,University of Tulsa,Computer Science,2.8,2.9,100%
https://www.ratemyprofessors.com/professor/272727,Anna McColl,University of Tulsa,Computer Science,3.7,2.7,100%
https://www.ratemyprofessors.com/professor/276413,Geoffrey Price,University of Tulsa,Engineering,3.7,3.7,100%
https://www.ratemyprofessors.com/professor/276418,Keith Wisecarver,University of Tulsa,Engineering,4.5,3.3,100%
https://www.ratemyprofessors.com/professor/277623,Amy Carreiro,University of Tulsa,History,4.2,2.7,N/A
https://www.ratemyprofessors.com/professor/279625,Michael Basso,University of Tulsa,Psychology,3.6,2.6,N/A
https://www.ratemyprofessors.com/professor/294657,Eric Nelson,University of Tulsa,Psychology,4.7,3.3,N/A
https://www.ratemyprofessors.com/professor/307226,Eduardo Faingold,University of Tulsa,Languages,2.4,2.2,50%
https://www.ratemyprofessors.com/professor/307234,Garrick Bailey,University of Tulsa,Anthropology,4.4,2.3,100%
https://www.ratemyprofessors.com/professor/308898,John Dicesare,University of Tulsa,Chemistry,4.0,3.5,N/A
https://www.ratemyprofessors.com/professor/327379,Nick Takach,University of Tulsa,Chemistry,2.3,3.8,58%
https://www.ratemyprofessors.com/professor/329813,Steven Bellovich,University of Tulsa,Geology,3.6,3.8,N/A
https://www.ratemyprofessors.com/professor/329816,Elana Newman,University of Tulsa,Psychology,3.2,3.4,100%
https://www.ratemyprofessors.com/professor/330464,J.C. Diaz,University of Tulsa,Mathematics,1.5,3.3,100%
https://www.ratemyprofessors.com/professor/331962,Colin Barker,University of Tulsa,Geology,3.8,2.4,N/A
https://www.ratemyprofessors.com/professor/352365,Robert Doolittle,University of Tulsa,Communication,3.8,3.5,N/A
https://www.ratemyprofessors.com/professor/352781,Susan Chase,University of Tulsa,Sociology,4.2,2.6,100%
https://www.ratemyprofessors.com/professor/353718,Karen Rubio,University of Tulsa,Languages,4.9,2.1,100%
https://www.ratemyprofessors.com/professor/354757,Timothy Urban,University of Tulsa,Finance,4.2,3.7,43%
https://www.ratemyprofessors.com/professor/354760,Ralph Jackson,University of Tulsa,Marketing,4.8,3.3,N/A
https://www.ratemyprofessors.com/professor/356198,Marla Mansfield,University of Tulsa,Law,2.4,4,N/A
https://www.ratemyprofessors.com/professor/373107,John Martin Coward,University of Tulsa,Communication,3.2,2.3,N/A
https://www.ratemyprofessors.com/professor/385050,Claire Cornell,University of Tulsa,Management,2.7,2.8,0%
https://www.ratemyprofessors.com/professor/393484,Wen-Chyuan Chiang,University of Tulsa,Finance,3.9,2.8,100%
https://www.ratemyprofessors.com/professor/394466,Peter Stromberg,University of Tulsa,Anthropology,4.4,3.2,100%
https://www.ratemyprofessors.com/professor/399899,Richard Reeder,University of Tulsa,Biology,3.5,4.9,0%
https://www.ratemyprofessors.com/professor/401232,M Farrell,University of Tulsa,English,3.8,3.1,N/A
https://www.ratemyprofessors.com/professor/424914,Dennis Combs,University of Tulsa,Psychology,4.9,3,N/A
https://www.ratemyprofessors.com/professor/428518,John McNulty,University of Tulsa,Psychology,3.6,2.9,N/A
https://www.ratemyprofessors.com/professor/436984,Laura Foley,University of Tulsa,Sociology,3.9,2.2,100%
https://www.ratemyprofessors.com/professor/439875,Thelma Blocker,University of Tulsa,Sociology,4.4,3.7,80%
https://www.ratemyprofessors.com/professor/453599,Joe Byers,University of Tulsa,Finance,2.8,3.2,N/A
https://www.ratemyprofessors.com/professor/456233,Douglas Jussaume,University of Tulsa,Engineering,3.8,4.1,82%
https://www.ratemyprofessors.com/professor/461652,Kristie Nix,University of Tulsa,Nursing,4.2,3.6,N/A
https://www.ratemyprofessors.com/professor/463414,Jane Ackerman,University of Tulsa,Religion,2.5,3.7,0%
https://www.ratemyprofessors.com/professor/463559,Parameswar Harikumar,University of Tulsa,Physics,2.6,3.7,0%
https://www.ratemyprofessors.com/professor/466476,Courtney Selby,University of Tulsa,Law,4.9,2.2,N/A
https://www.ratemyprofessors.com/professor/470983,Diane Burton,University of Tulsa,English,4.1,2.3,N/A
https://www.ratemyprofessors.com/professor/471754,Susan Goldman-Moore,University of Tulsa,Music,5.0,1.6,N/A
https://www.ratemyprofessors.com/professor/471758,David Moore,University of Tulsa,Music,3.9,2.1,N/A
https://www.ratemyprofessors.com/professor/472823,James Watson,University of Tulsa,English,3.2,3.4,N/A
https://www.ratemyprofessors.com/professor/475609,Brenton McLaury,University of Tulsa,Engineering,4.3,2.4,67%
https://www.ratemyprofessors.com/professor/485624,Estelle Levetin,University of Tulsa,Biology,3.0,3.8,100%
https://www.ratemyprofessors.com/professor/549530,David Tingey,University of Tulsa,Languages,4.0,2.6,100%
https://www.ratemyprofessors.com/professor/569454,Kenton Miller,University of Tulsa,Biology,2.4,4.1,30%
https://www.ratemyprofessors.com/professor/585340,Gerald Kane,University of Tulsa,Engineering,3.2,2.9,N/A
https://www.ratemyprofessors.com/professor/585718,Donald Henry,University of Tulsa,Anthropology,3.4,2.7,N/A
https://www.ratemyprofessors.com/professor/588262,Peter Michael,University of Tulsa,Geology,2.7,2.3,0%
https://www.ratemyprofessors.com/professor/591168,Diane Bucchianeri,University of Tulsa,Music,4.8,2.3,N/A
https://www.ratemyprofessors.com/professor/591217,Yevgeny Yevtushenko,University of Tulsa,English,3.7,1.4,100%
https://www.ratemyprofessors.com/professor/592033,Tanya Romero,University of Tulsa,Languages,3.2,3.8,N/A
https://www.ratemyprofessors.com/professor/613349,Jill Hough,University of Tulsa,Management,3.3,4.5,N/A
https://www.ratemyprofessors.com/professor/613798,John McCampbell,University of Tulsa,Physics,4.1,2.9,72%
https://www.ratemyprofessors.com/professor/653705,Kerry Sublette,University of Tulsa,Engineering,4.0,2.5,100%
https://www.ratemyprofessors.com/professor/655013,Roger Price,University of Tulsa,Music,4.6,3.6,100%
https://www.ratemyprofessors.com/professor/704598,Shannon Scott,University of Tulsa,Music,0.0,0,N/A
https://www.ratemyprofessors.com/professor/712891,Ronald Jepperson,University of Tulsa,Sociology,4.0,3.9,75%
https://www.ratemyprofessors.com/professor/720995,Paul Baures,University of Tulsa,Chemistry,4.0,3.6,N/A
https://www.ratemyprofessors.com/professor/733814,Alexa Byford,University of Tulsa,Mathematics,4.0,2.6,N/A
https://www.ratemyprofessors.com/professor/741372,Elsa Plumlee,University of Tulsa,Languages,3.9,3.6,50%
https://www.ratemyprofessors.com/professor/745497,Donald Willams,University of Tulsa,Mathematics,3.5,3.1,N/A
https://www.ratemyprofessors.com/professor/747014,Elizabeth O'Dell,University of Tulsa,Law,0.0,0,N/A
https://www.ratemyprofessors.com/professor/747016,Barbara Bucholtz,University of Tulsa,Law,1.7,3.9,0%
https://www.ratemyprofessors.com/professor/747017,Tamara Piety,University of Tulsa,Law,3.0,3.3,N/A
https://www.ratemyprofessors.com/professor/747018,Marguerite Chapman,University of Tulsa,Law,3.7,3.2,N/A
https://www.ratemyprofessors.com/professor/747019,.. Lewin,University of Tulsa,Law,2.8,3.6,N/A
https://www.ratemyprofessors.com/professor/747020,.. Ducey,University of Tulsa,Law,4.3,2,N/A
https://www.ratemyprofessors.com/professor/765303,James Sorem,University of Tulsa,Engineering,3.8,3,N/A
https://www.ratemyprofessors.com/professor/765308,Janet Haggerty,University of Tulsa,Science,0.0,0,N/A
https://www.ratemyprofessors.com/professor/778904,George Odell,University of Tulsa,Anthropology,4.3,2.8,N/A
https://www.ratemyprofessors.com/professor/782667,David Poth,University of Tulsa,Business,4.6,2,N/A
https://www.ratemyprofessors.com/professor/785175,James Bachman,University of Tulsa,English,3.7,3.2,100%
https://www.ratemyprofessors.com/professor/786585,Carol Lambert,University of Tulsa,Health Science,4.5,4,N/A
https://www.ratemyprofessors.com/professor/794727,Eun Han,University of Tulsa,Biology,2.0,3.6,N/A
https://www.ratemyprofessors.com/professor/798349,Frank Ryan,University of Tulsa,Music,3.1,3.6,N/A
https://www.ratemyprofessors.com/professor/821910,Tao Wang,University of Tulsa,Education,2.9,3.3,67%
https://www.ratemyprofessors.com/professor/828587,Michael Fowler,University of Tulsa,Music,3.2,2.5,50%
https://www.ratemyprofessors.com/professor/834302,Rebecca Leaman,University of Tulsa,Computer Science,2.8,3.5,N/A
https://www.ratemyprofessors.com/professor/841221,Albert Reynolds,University of Tulsa,Engineering,3.5,2.5,100%
https://www.ratemyprofessors.com/professor/859239,Mohan Kelkar,University of Tulsa,Engineering,3.6,2.4,50%
https://www.ratemyprofessors.com/professor/863171,Jan Drummond,University of Tulsa,Nursing,5.0,2.3,N/A
https://www.ratemyprofessors.com/professor/869794,Jeremy Daily,University of Tulsa,Engineering,1.9,4.3,0%
https://www.ratemyprofessors.com/professor/873033,Jeff Francis,University of Tulsa,Religion,5.0,2.3,100%
https://www.ratemyprofessors.com/professor/910366,Russel Christopher,University of Tulsa,Law,4.3,3.9,N/A
https://www.ratemyprofessors.com/professor/931142,Corrie Pogson,University of Tulsa,Psychology,0.0,0,N/A
